summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
CNI reports confusing error message for failed interface setup.,network,2.0,Major,Bug,2016,12,8,Mesos,Resolved,2016-12-20,MESOS-6822,1,1,400.37,Qian Zhang,0
FaultToleranceTest.FrameworkReregister is flaky.,test,1.0,Major,Bug,2016,12,3,Mesos,Resolved,2016-12-20,MESOS-6820,1,1,2.24,Benjamin Bannier,3
Enable glog stack traces when we call things like `ABORT` on Windows,stout,5.0,Critical,Bug,2016,12,7,Mesos,Resolved,2016-12-19,MESOS-6815,0,1,84.98,Andrew Schwartzmeyer,3
IOSwitchboardServerTest.SendHeartbeat and IOSwitchboardServerTest.ReceiveHeartbeat broken on OS X,test,3.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-19,MESOS-6811,0,1,0.49,Benjamin Bannier,1
"Update the addition, deletion and modification logic of CNI configuration files.",containerization,1.0,Major,Documentation,2016,12,2,Mesos,Resolved,2016-12-15,MESOS-6806,3,1,34.83,Avinash Sridharan,1
Check unreachable task cache for task ID collisions on launch,master,2.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-15,MESOS-6805,3,1,39.2,Neil Conway,1
SSL socket can lose bytes in the case of EOF,libprocess,3.0,Major,Bug,2016,12,3,Mesos,Resolved,2016-12-15,MESOS-6802,3,1,26.37,Greg Mann,3
Listening socket might get closed while the accept is still in flight.,libprocess,2.0,Major,Bug,2016,12,1,Mesos,Resolved,2016-12-14,MESOS-6795,2,1,0.03,Jie Yu,0
CniIsolatorTest.ROOT_EnvironmentLibprocessIP fails on systems using dash as sh,test,2.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-14,MESOS-6793,2,1,0.09,Benjamin Bannier,1
Allow to specific the device whitelist entries in cgroup devices subsystem,containerization,1.0,Major,Task,2016,12,11,Mesos,Resolved,2016-12-14,MESOS-6791,2,1,137.37,Zhongbo Tian,1
Wrong task started time in webui,webui,1.0,Major,Bug,2016,12,17,Mesos,Resolved,2016-12-14,MESOS-6790,2,1,302.5,Benno Evers,4
SSL socket's 'shutdown()' method is broken,libprocess,2.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-14,MESOS-6789,2,1,31.02,Greg Mann,3
Inherit Environment from parent container when launching DEBUG container.,,3.0,Major,Improvement,2016,12,4,Mesos,Resolved,2016-12-12,MESOS-6782,0,0,149.55,Alex R,4
The 'http::connect(address)' always uses the DEFAULT_KIND() of socket even if SSL is undesired.,,1.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-10,MESOS-6775,5,0,2.11,Kevin Klues,2
Reached unreachable statement at <path>/mesos/src/slave/containerizer/mesos/launch.cpp:766,,1.0,Blocker,Bug,2016,12,1,Mesos,Resolved,2016-12-09,MESOS-6767,4,0,3.46,Jie Yu,2
"Make the Resources wrapper ""copy-on-write"" to improve performance.",,5.0,Critical,Improvement,2016,12,3,Mesos,Resolved,2016-12-09,MESOS-6765,4,0,651.86,Meng Zhu,2
Add heartbeats to both input/output connections in IOSwitchboard,,2.0,Major,Improvement,2016,12,3,Mesos,Resolved,2016-12-09,MESOS-6763,4,0,6.03,Kevin Klues,2
IOSwitchboardServerTest.AttachOutput has CHECK failure if run it multiple times.,,3.0,Blocker,Bug,2016,12,8,Mesos,Resolved,2016-12-08,MESOS-6759,3,0,5.97,Jie Yu,0
Support 'Basic' auth docker private registry on Unified Containerizer.,containerization,5.0,Blocker,Improvement,2016,12,2,Mesos,Resolved,2016-12-08,MESOS-6758,3,1,56.06,Gilbert Song,1
I/O switchboard should deal with the case when reaping of the server failed.,,3.0,Major,Bug,2016,12,1,Mesos,Resolved,2016-12-08,MESOS-6756,3,0,0.04,Jie Yu,0
Metrics on the Agent view of the Mesos web UI flickers between empty and non-empty states,webui,1.0,Minor,Bug,2016,12,5,Mesos,Resolved,2016-12-07,MESOS-6750,2,1,12.07,haosdent,0
Update master and agent endpoints to expose FrameworkInfo.roles.,"agent,master",3.0,Major,Task,2016,12,2,Mesos,Resolved,2016-12-07,MESOS-6749,2,2,6.59,Benjamin Bannier,0
I/O switchboard should inherit agent environment variables.,,1.0,Major,Bug,2016,12,1,Mesos,Resolved,2016-12-07,MESOS-6748,2,0,0.19,Jie Yu,0
IOSwitchboard doesn't properly flush data on ATTACH_CONTAINER_OUTPUT,,1.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-07,MESOS-6746,2,0,0.18,Anand Mazumdar,2
MesosContainerizer/DefaultExecutorTest.KillTask/0 is flaky,test,2.0,Major,Bug,2016,12,4,Mesos,Resolved,2016-12-07,MESOS-6745,2,1,6.1,Benjamin Bannier,2
DefaultExecutorTest.KillTaskGroupOnTaskFailure is flaky,test,2.0,Major,Bug,2016,12,5,Mesos,Resolved,2016-12-07,MESOS-6744,2,1,6.1,Benjamin Bannier,2
Docker executor hangs forever if `docker stop` fails.,docker,5.0,Critical,Bug,2016,12,7,Mesos,Resolved,2016-12-07,MESOS-6743,2,1,246.35,Andrei Budnik,2
The agent should synchronize with the IOSwitchboard to determine when it is ready to accept incoming connections.,,2.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-07,MESOS-6737,2,0,0.12,Kevin Klues,2
"Create a test filter for stout tests that use `symlink` on Windows, as they will fail if not run as admin",stout,3.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-06,MESOS-6731,1,1,126.12,John Kordich,3
Reserve operation should validate reserved resource role against resource allocationInfo role,,3.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-06,MESOS-6730,1,0,71.41,Benjamin Bannier,0
Check that `PreferredToolArchitecture` is set to `x64` on Windows before building,cmake,2.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-05,MESOS-6720,0,1,80.21,Alex Clemmer,2
"Unify ""active"" and ""state""/""connected"" fields in Master::Framework",master,2.0,Minor,Improvement,2016,12,2,Mesos,Resolved,2016-12-05,MESOS-6719,0,1,49.37,Neil Conway,1
Should destroy DEBUG containers on agent recovery.,,3.0,Major,Bug,2016,12,1,Mesos,Resolved,2016-12-05,MESOS-6718,0,0,1.74,Kevin Klues,2
Port `slave_recovery_tests.cpp`,agent,3.0,Major,Bug,2016,12,1,Mesos,Resolved,2016-12-05,MESOS-6713,0,1,431.56,Andrew Schwartzmeyer,3
Enable SSL in Mesos builds,agent,3.0,Major,Task,2016,12,2,Mesos,Resolved,2016-12-05,MESOS-6691,0,1,98.65,Joseph Wu,3
Remove of unix domain socket path in IOSwitchboard::cleanup,,1.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-05,MESOS-6689,0,0,0.88,Kevin Klues,2
IOSwitchboard should recover spawned server pid on agent restarts,,2.0,Major,Bug,2016,12,4,Mesos,Resolved,2016-12-05,MESOS-6688,0,0,2.23,Kevin Klues,2
Class DynamicLibrary's default copy constructor can lead to inconsistent state,stout,1.0,Major,Bug,2016,12,2,Mesos,Resolved,2016-12-02,MESOS-6672,4,1,0.38,Benjamin Bannier,2
Duplicate image layer ids may make the backend failed to mount rootfs.,containerization,3.0,Critical,Bug,2016,11,2,Mesos,Resolved,2016-11-30,MESOS-6654,2,1,59.28,Gilbert Song,3
Overlayfs backend may fail to mount the rootfs if both container image and image volume are specified.,containerization,3.0,Critical,Bug,2016,11,4,Mesos,Resolved,2016-11-30,MESOS-6653,2,1,56.34,Gilbert Song,3
Make IOSwitchboard an isolator.,,5.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-30,MESOS-6651,2,0,0.22,Jie Yu,0
MesosContainerizer launch helper should take ContainerLaunchInfo.,,5.0,Major,Improvement,2016,11,3,Mesos,Resolved,2016-11-27,MESOS-6648,6,0,2.5,Jie Yu,1
StreamingRequestDecoder incompletely initializes its http_parser_settings,libprocess,1.0,Major,Bug,2016,11,2,Mesos,Resolved,2016-11-25,MESOS-6646,4,1,10.62,Benjamin Bannier,2
Update 'io::redirect()' to take an optional vector of callback hooks.,,1.0,Major,Improvement,2016,11,4,Mesos,Resolved,2016-11-24,MESOS-6639,3,0,57.46,Kevin Klues,0
Disallow frameworks from modifying FrameworkInfo.roles.,master,3.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-23,MESOS-6631,2,1,63.36,Benjamin Bannier,0
Add some benchmark test for quota allocation,allocation,3.0,Major,Task,2016,11,4,Mesos,Resolved,2016-11-23,MESOS-6630,2,1,743.86,Meng Zhu,2
Support `foreachpair` for LinkedHashMap,stout,3.0,Major,Improvement,2016,11,2,Mesos,Resolved,2016-11-22,MESOS-6626,1,1,22.8,Neil Conway,1
Expose container id in ContainerStatus in DockerContainerizer.,,2.0,Major,Bug,2016,11,3,Mesos,Resolved,2016-11-22,MESOS-6625,1,0,0.46,Jie Yu,2
NvidiaGpuTest.ROOT_INTERNET_CURL_CGROUPS_NVIDIA_GPU_NvidiaDockerImage is flaky,"flaky,test",2.0,Minor,Bug,2016,11,2,Mesos,Resolved,2016-11-22,MESOS-6622,1,2,570.87,Chun-Hung Hsiao,2
SSL downgrade path will CHECK-fail when using both temporary and persistent sockets,libprocess,3.0,Blocker,Bug,2016,11,4,Mesos,Resolved,2016-11-22,MESOS-6621,1,1,0.92,Joseph Wu,1
Improve task management for unreachable tasks,master,8.0,Major,Bug,2016,11,2,Mesos,Resolved,2016-11-21,MESOS-6619,0,1,63.33,Neil Conway,1
Some tests use hardcoded port numbers.,test,3.0,Minor,Bug,2016,11,2,Mesos,Resolved,2016-11-21,MESOS-6618,0,1,3.94,Benjamin Bannier,2
mesos-execute does not support health-checks.,,3.0,Minor,Improvement,2016,11,4,Mesos,Resolved,2016-11-21,MESOS-6617,0,0,1.98,haosdent,2
Error: dereferencing type-punned pointer will break strict-aliasing rules.,,3.0,Major,Bug,2016,11,9,Mesos,Resolved,2016-11-21,MESOS-6616,0,0,444.59,Alex R,2
Reject optimized builds with libcxx before 3.9,build,2.0,Major,Bug,2016,11,4,Mesos,Resolved,2016-11-18,MESOS-6606,4,1,90.5,Benjamin Bannier,1
Uninitialized member ObjectApprover::weight_info.,,1.0,Minor,Bug,2016,11,2,Mesos,Resolved,2016-11-18,MESOS-6604,4,0,2.66,Benjamin Bannier,3
Shutdown completed frameworks when unreachable agent re-registers,,5.0,Major,Bug,2016,11,2,Mesos,Resolved,2016-11-18,MESOS-6602,4,0,66.95,Neil Conway,1
Add `Containerizer::attach()` API call,,3.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-15,MESOS-6594,1,0,6.94,Vinod Kone,2
MesosContainerizer/DefaultExecutorTest.KillTask/0 failing on ASF CI,,2.0,Major,Bug,2016,11,4,Mesos,Resolved,2016-11-10,MESOS-6569,3,0,25.7,Benjamin Bannier,3
Actively Scan for CNI Configurations,,3.0,Major,Improvement,2016,11,7,Mesos,Resolved,2016-11-09,MESOS-6567,2,0,42.29,Avinash Sridharan,0
The default stout stringify always copies its argument,stout,2.0,Major,Bug,2016,11,2,Mesos,Resolved,2016-11-08,MESOS-6560,1,1,154.26,Benjamin Bannier,2
Update `MesosContainerizerProcess::_launch()` to pass `ContainerLaunchInfo` to launcher->fork()`,,1.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-04,MESOS-6553,4,0,76.53,Jie Yu,1
Add attach/exec commands to the Mesos CLI,cli,5.0,Major,Task,2016,11,11,Mesos,Resolved,2016-11-04,MESOS-6551,4,1,714.6,Armand Grillet,2
Update the mesos containerizer to launch per-container I/O switchboards,,2.0,Major,Task,2016,11,1,Mesos,Resolved,2016-11-04,MESOS-6547,4,0,28.72,Jie Yu,2
Update the Containerizer to handle attachInput and attachOutput calls.,,2.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-04,MESOS-6546,4,0,29.78,Kevin Klues,2
"Add special case for entering the ""mount"" namespace of a parent container",,2.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-03,MESOS-6543,3,0,8.25,Kevin Klues,2
Add support for incremental gzip decompression.,stout,3.0,Major,Improvement,2016,11,2,Mesos,Resolved,2016-11-02,MESOS-6530,2,1,8.91,Benjamin Mahler,0
Container status of a task in a pod is not correct.,"agent,containerization",3.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-02,MESOS-6528,2,2,6.07,Jie Yu,1
Memory leak in the libprocess request decoder.,libprocess,2.0,Blocker,Bug,2016,11,3,Mesos,Resolved,2016-11-01,MESOS-6527,1,1,0.31,Anand Mazumdar,1
Add API protos for managing debug containers,,3.0,Major,Task,2016,11,2,Mesos,Resolved,2016-11-01,MESOS-6525,1,0,3.05,Vinod Kone,2
MasterTest.OrphanTasksMultipleAgents,test,1.0,Major,Bug,2016,10,3,Mesos,Resolved,2016-10-31,MESOS-6519,0,1,0.08,Vinod Kone,1
Parallel test running does not respect GTEST_FILTER,test,2.0,Major,Bug,2016,10,2,Mesos,Resolved,2016-10-31,MESOS-6516,0,1,6.93,Benjamin Bannier,1
Use 'geteuid()' for the root privileges check.,containerization,3.0,Major,Bug,2016,10,3,Mesos,Resolved,2016-10-28,MESOS-6504,4,1,85.95,Gilbert Song,4
"_version uses incorrect MESOS_{MAJOR,MINOR,PATCH}_VERSION in libmesos java binding.",,1.0,Blocker,Bug,2016,10,4,Mesos,Resolved,2016-10-28,MESOS-6502,4,0,0.01,Joris Van Remoortere,1
"Add a test for duplicate framework ids in ""unregistered_frameworks""",,2.0,Major,Bug,2016,10,2,Mesos,Resolved,2016-10-28,MESOS-6501,4,0,0.16,Vinod Kone,0
Java Scheduler Adapter does not surface MasterInfo.,,2.0,Blocker,Bug,2016,10,5,Mesos,Resolved,2016-10-27,MESOS-6497,3,0,0.74,Anand Mazumdar,2
Add test cases for the HTTPS health checks.,test,3.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-27,MESOS-6493,3,1,3.79,haosdent,3
Build a standalone python client for connecting to our Mock HTTP Server that implements the new Debug APIs,,3.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-24,MESOS-6477,0,0,45.51,Steven Locke,2
Build a Mock HTTP Server that implements the new Debugging API calls,,3.0,Major,Task,2016,10,1,Mesos,Resolved,2016-10-24,MESOS-6476,0,0,45.5,Steven Locke,2
Add fine-grained ACLs for authorization with the new debugging APIs,,5.0,Major,Task,2016,10,4,Mesos,Resolved,2016-10-24,MESOS-6474,0,0,43.51,Alexander Rojas,3
Build support for ATTACH_CONTAINER_OUTPUT into the Agent API in Mesos,,5.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-24,MESOS-6473,0,0,35.31,Vinod Kone,2
Build support for ATTACH_CONTAINER_INPUT into the Agent API in Mesos,,5.0,Major,Task,2016,10,3,Mesos,Resolved,2016-10-24,MESOS-6472,0,0,37.33,Anand Mazumdar,2
Build support for LAUNCH_NESTED_CONTAINER_SESSION call into the Agent API in Mesos,,5.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-24,MESOS-6471,0,0,38.3,Vinod Kone,2
Support TTY in IOSwitchboard.,,5.0,Major,Task,2016,10,3,Mesos,Resolved,2016-10-24,MESOS-6470,0,0,41.29,Jie Yu,2
Update Mesos logger components to handle redirection of stdin,,3.0,Major,Task,2016,10,0,Mesos,Resolved,2016-10-24,MESOS-6468,0,0,8.82,Kevin Klues,2
Build a Container I/O Switchboard,,3.0,Major,Task,2016,10,8,Mesos,Resolved,2016-10-24,MESOS-6467,0,0,37.89,Kevin Klues,2
Add support for streaming HTTP requests in Mesos,,8.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-24,MESOS-6466,0,0,28.2,Anand Mazumdar,2
Add a task_id -> container_id mapping in state.json,,2.0,Major,Task,2016,10,7,Mesos,Resolved,2016-10-24,MESOS-6465,0,0,14.14,Neil Conway,2
Add fine grained control of which namespaces a nested container should inherit (or not).,,2.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-24,MESOS-6464,0,0,18.19,Kevin Klues,2
Build a prototype for remote pty support,,8.0,Major,Task,2016,10,0,Mesos,Resolved,2016-10-24,MESOS-6463,0,0,0.01,Kevin Klues,2
Design Doc: Mesos Support for Container Attach and Container Exec,,8.0,Major,Task,2016,10,1,Mesos,Resolved,2016-10-24,MESOS-6462,0,0,23.8,Kevin Klues,2
Duplicate framework ids in /master/frameworks endpoint 'unregistered_frameworks'.,master,2.0,Minor,Bug,2016,10,4,Mesos,Resolved,2016-10-24,MESOS-6461,0,1,3.93,Vinod Kone,1
PosixRLimitsIsolatorTest.TaskExceedingLimit fails on OS X,,2.0,Major,Bug,2016,10,4,Mesos,Resolved,2016-10-24,MESOS-6459,0,0,7.46,Benjamin Bannier,1
PosixRLimitsIsolatorTest.TaskExceedingLimit failed on OSX,containerization,2.0,Major,Bug,2016,10,0,Mesos,Resolved,2016-10-23,MESOS-6454,6,1,0.96,Benjamin Bannier,0
Display reservations in the agent page in the webui.,webui,3.0,Major,Task,2016,10,11,Mesos,Resolved,2016-10-21,MESOS-6441,4,1,271.83,Andrei Budnik,1
"Roles with quota assigned can ""game"" the system to receive excessive resources.",allocation,5.0,Critical,Bug,2016,10,6,Mesos,Resolved,2016-10-20,MESOS-6432,3,1,108.2,Benjamin Bannier,0
Add support for port-mapping in `mesos-execute`,containerization,1.0,Major,Task,2016,10,3,Mesos,Resolved,2016-10-20,MESOS-6431,3,1,39.26,Avinash Sridharan,1
"The python linter doesn't rebuild the virtual environment before linting when ""pip-requirements.txt"" has changed",build,2.0,Major,Bug,2016,10,1,Mesos,Resolved,2016-10-20,MESOS-6430,3,1,146.37,Kevin Klues,0
Mesos containerizer helper function signalSafeWriteStatus is not AS-Safe,containerization,3.0,Major,Bug,2016,10,3,Mesos,Resolved,2016-10-20,MESOS-6428,3,1,321.61,Andrei Budnik,2
Add documentation for rlimit support of Mesos containerizer,"containerization,documentation",3.0,Major,Improvement,2016,10,3,Mesos,Resolved,2016-10-20,MESOS-6427,3,2,46.43,Benjamin Bannier,0
Add rlimit support to Mesos containerizer,containerization,8.0,Major,Improvement,2016,10,1,Mesos,Resolved,2016-10-20,MESOS-6426,3,1,1.73,Benjamin Bannier,1
Possible nullptr dereference in flag loading,stout,2.0,Major,Bug,2016,10,4,Mesos,Resolved,2016-10-20,MESOS-6424,3,1,8.26,Benjamin Bannier,1
The 'master/teardown' endpoint should support tearing down 'unregistered_frameworks'.,master,8.0,Critical,Bug,2016,10,7,Mesos,Resolved,2016-10-19,MESOS-6419,2,1,89.53,Neil Conway,2
Add documentation for CNI port-mapper plugin.,containerization,1.0,Major,Documentation,2016,10,4,Mesos,Resolved,2016-10-18,MESOS-6411,1,1,15.53,Avinash Sridharan,1
Draft design doc for rlimit support for Mesos containerizer,,8.0,Major,Task,2016,10,1,Mesos,Resolved,2016-10-17,MESOS-6403,0,0,10.07,Benjamin Bannier,0
Add rlimit support to Mesos containerizer,containerization,15.0,Major,Epic,2016,10,0,Mesos,Resolved,2016-10-17,MESOS-6402,0,1,52.14,Benjamin Bannier,1
HealthChecker sends updates to executor via libprocess messaging.,,3.0,Major,Improvement,2016,10,2,Mesos,Resolved,2016-10-14,MESOS-6395,4,0,42.12,Alex R,2
Ensure Python support scripts are linted,,3.0,Major,Improvement,2016,10,12,Mesos,Resolved,2016-10-13,MESOS-6390,3,0,356.74,Armand Grillet,2
Report new PARTITION_AWARE task statuses in HTTP endpoints,master,1.0,Major,Bug,2016,10,2,Mesos,Resolved,2016-10-13,MESOS-6388,3,1,102.22,Neil Conway,1
"""Reached unreachable statement"" in LinuxCapabilitiesIsolatorTest",containerization,3.0,Minor,Bug,2016,10,3,Mesos,Resolved,2016-10-13,MESOS-6386,3,1,0.99,Benjamin Bannier,1
Add documentation for capabilities support of the mesos containerizer,containerization,3.0,Major,Task,2016,10,2,Mesos,Resolved,2016-10-12,MESOS-6376,2,1,8.2,Benjamin Bannier,1
Remove the 'recover()' interface in 'ContainerLogger'.,containerization,3.0,Major,Improvement,2016,10,2,Mesos,Resolved,2016-10-11,MESOS-6371,1,1,0.11,Gilbert Song,3
Add a column for FrameworkID when displaying tasks in the WebUI,webui,1.0,Minor,Improvement,2016,10,2,Mesos,Resolved,2016-10-11,MESOS-6369,1,1,21.01,Miguel Bernadin,2
Design doc for executor authentication,agent,5.0,Major,Task,2016,10,1,Mesos,Resolved,2016-10-11,MESOS-6366,1,1,109.41,Greg Mann,1
Enable partition-awareness in mesos-execute,,2.0,Minor,Improvement,2016,10,2,Mesos,Resolved,2016-10-11,MESOS-6361,1,0,104.36,Neil Conway,1
Allow `network/cni` isolator to take a search path for CNI plugins instead of single directory,containerization,1.0,Blocker,Task,2016,10,3,Mesos,Resolved,2016-10-08,MESOS-6344,5,1,6.52,Avinash Sridharan,1
Documentation Error: Default Executor does not implicitly construct resources,,1.0,Blocker,Documentation,2016,10,1,Mesos,Resolved,2016-10-08,MESOS-6343,5,0,4.88,Vinod Kone,0
CNI should not use `ifconfig` in executors `pre_exec_command`,containerization,1.0,Major,Bug,2016,10,2,Mesos,Resolved,2016-10-07,MESOS-6324,4,1,0.93,Avinash Sridharan,0
'mesos-containerizer launch' should inherit agent environment variables.,,5.0,Critical,Bug,2016,10,3,Mesos,Resolved,2016-10-07,MESOS-6323,4,0,4.96,Jie Yu,1
Agent fails to kill empty parent container,,3.0,Blocker,Bug,2016,10,3,Mesos,Resolved,2016-10-06,MESOS-6322,3,0,1.2,Anand Mazumdar,1
CHECK failure in HierarchicalAllocatorTest.NoDoubleAccounting,,1.0,Major,Bug,2016,10,3,Mesos,Resolved,2016-10-06,MESOS-6321,3,0,3.96,Alex R,1
Implement clang-tidy check to catch incorrect flags hierarchies,,3.0,Major,Bug,2016,10,2,Mesos,Resolved,2016-10-06,MESOS-6320,3,0,110.22,Benjamin Bannier,2
Update CHANGELOG to mention addition of agent '--runtime_dir' flag.,,1.0,Blocker,Task,2016,10,9,Mesos,Resolved,2016-10-04,MESOS-6312,1,0,10.18,Kevin Klues,0
Add authorization support for nested container calls,security,3.0,Major,Improvement,2016,10,2,Mesos,Resolved,2016-10-03,MESOS-6305,0,1,84.32,Alexander Rojas,0
Add authentication support to the default executor,"executor,modules,security",2.0,Major,Improvement,2016,10,2,Mesos,Resolved,2016-10-03,MESOS-6304,0,3,173.02,Greg Mann,4
Agent recovery can fail after nested containers are launched,containerization,3.0,Blocker,Bug,2016,10,3,Mesos,Resolved,2016-10-01,MESOS-6302,5,1,4.92,Gilbert Song,1
Recursive destroy in MesosContainerizer is problematic.,,3.0,Major,Bug,2016,9,1,Mesos,Resolved,2016-09-30,MESOS-6301,4,0,0.01,Jie Yu,1
A destroyed nested container is not reflected in the parent container's children map.,,2.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-30,MESOS-6300,4,0,0.01,Jie Yu,1
Master doesn't remove task from pending when it is invalid,,2.0,Blocker,Improvement,2016,9,2,Mesos,Resolved,2016-09-30,MESOS-6299,4,0,0.07,Vinod Kone,1
Default executor should be able to launch multiple task groups,,5.0,Major,Improvement,2016,9,3,Mesos,Resolved,2016-09-30,MESOS-6296,4,0,130.0,Anand Mazumdar,0
HealthCheckTest.HealthyTaskViaHTTPWithoutType fails on some distros.,,3.0,Major,Bug,2016,9,6,Mesos,Resolved,2016-09-30,MESOS-6293,4,0,28.07,Alex R,2
Support nested containers for logger in Mesos Containerizer.,containerization,2.0,Blocker,Bug,2016,9,5,Mesos,Resolved,2016-09-30,MESOS-6290,4,1,12.86,Gilbert Song,3
The default executor should maintain launcher_dir.,,3.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-29,MESOS-6288,3,0,31.68,Gastón Kleiman,2
Master does not remove an agent if it is responsive but not registered,,5.0,Blocker,Bug,2016,9,5,Mesos,Resolved,2016-09-29,MESOS-6286,3,0,102.0,Neil Conway,1
MesosContainerizer should skip non-nesting aware isolators for nested container.,,3.0,Blocker,Task,2016,9,2,Mesos,Resolved,2016-09-29,MESOS-6284,3,0,0.39,Jie Yu,1
Task group executor should support command health checks.,executor,5.0,Critical,Improvement,2016,9,4,Mesos,Resolved,2016-09-29,MESOS-6280,3,1,175.5,Gastón Kleiman,2
Add test cases for the TCP health check.,test,3.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-29,MESOS-6279,3,1,27.89,haosdent,3
Add test cases for the HTTP health checks.,test,3.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-29,MESOS-6278,3,1,27.89,haosdent,3
Agent should not allow HTTP executors to re-subscribe before containerizer recovery is done.,,3.0,Blocker,Bug,2016,9,8,Mesos,Resolved,2016-09-29,MESOS-6274,3,0,4.91,Anand Mazumdar,1
Allow WebUI/other tools to access the task sandbox for a nested container.,,2.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-29,MESOS-6272,3,0,0.17,Anand Mazumdar,1
Mesos containerizer should figure out the correct sandbox directory for nested launch.,containerization,3.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-28,MESOS-6263,2,1,0.17,Gilbert Song,2
Default executor should kill all other tasks in a task group if any task exits with a non-zero exit status.,,3.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-27,MESOS-6262,1,0,0.33,Anand Mazumdar,1
Composing containerizer needs to properly handle nested container launch,,3.0,Blocker,Bug,2016,9,4,Mesos,Resolved,2016-09-27,MESOS-6260,1,0,2.22,Vinod Kone,0
CNI isolator should not `CHECK` for `resolv.conf` under `rootContainerDir`,containerization,1.0,Blocker,Bug,2016,9,1,Mesos,Resolved,2016-09-27,MESOS-6259,1,1,0.05,Avinash Sridharan,0
Libprocess links will not generate an ExitedEvent if the socket creation fails,libprocess,2.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-24,MESOS-6246,5,1,4.9,Joseph Wu,2
Driver based schedulers performing explicit acknowledgements cannot acknowledge updates from HTTP based executors.,,3.0,Major,Bug,2016,9,3,Mesos,Resolved,2016-09-23,MESOS-6245,4,0,2.83,Anand Mazumdar,1
Add 'argv' variant of 'os::system',,3.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-23,MESOS-6235,4,0,0.11,Kevin Klues,0
Potential socket leak during Zookeeper network changes,libprocess,3.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-22,MESOS-6234,3,1,5.92,Joseph Wu,2
Master CHECK fails during recovery while relinking to other masters,master,2.0,Blocker,Bug,2016,9,5,Mesos,Resolved,2016-09-22,MESOS-6233,3,1,6.02,Joseph Wu,1
Add support for health checks to the default executor.,,3.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-22,MESOS-6230,3,0,6.95,Anand Mazumdar,1
Update the default executor to launch/wait/destroy child containers.,,8.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-22,MESOS-6227,3,0,4.57,Anand Mazumdar,1
PAGE_SIZE was not declared in PPC64LE,,1.0,Major,Bug,2016,9,1,Mesos,Resolved,2016-09-21,MESOS-6217,2,0,0.03,haosdent,2
LibeventSSLSocketImpl::create is not safe to call concurrently with os::getenv,security,5.0,Major,Bug,2016,9,5,Mesos,Resolved,2016-09-21,MESOS-6216,2,1,16.2,Benjamin Bannier,1
Containers that use the Mesos containerizer but don't want to provision a container image fail to validate.,containerization,1.0,Major,Bug,2016,9,2,Mesos,Resolved,2016-09-19,MESOS-6208,0,1,1.01,Alex R,1
"Introduce a ""runtime"" directory owned by the containerizer for checkpointing container information.",,5.0,Major,Task,2016,9,5,Mesos,Resolved,2016-09-18,MESOS-6204,6,0,6.4,Kevin Klues,0
Make the docker/volume isolator nesting aware.,,5.0,Major,Task,2016,9,4,Mesos,Resolved,2016-09-17,MESOS-6193,5,0,445.95,Gilbert Song,2
Add a virtual method to Isolator to indicate if it supports nesting.,,2.0,Major,Task,2016,9,2,Mesos,Resolved,2016-09-16,MESOS-6189,4,0,0.11,Jie Yu,0
